input,model_response,answer
"

What are the contraindications for VYLOY?",None,None
"

Can EBGLYSS be used with topical corticosteroids?",Yes,Yes
"

What is the initial dosage of KISUNLA for the first three doses?",700 mg every four weeks,700 mg every four weeks
"

What is the standard daily dosage of LIVDELZI for adult PBC patients?",10 mg once daily,10 mg once daily
"

What is the approved age range for WINREVAIR treatment?",Adults (18 years and older),Adults (18 years and older)
"

Are there any absolute contraindications for IQIRVO?",None,None
"

What is the reduced dosage of NIKTIMVO for patients who experience Grade 3 AST or ALT elevation with total bilirubin ≤ Grade 1?",0.2 mg/kg (maximum 23 mg) every 2 weeks,0.2 mg/kg (maximum 23 mg) every 2 weeks
"

What should be done with ITOVEBI dosing if a patient vomits after taking their dose?",Do not take an additional dose and resume at next scheduled dose,Do not take an additional dose that day and resume usual dosing schedule the next day
"

What is the initial loading dose of PIASKY for patients weighing between 40 kg and 100 kg?","1,000 mg","1,000 mg intravenously"
"

What is the size of each unit-dose packet of AQNEURSA?",1 gram,1 gram
"

What is the maintenance dosage schedule for ANKTIVA?","400 mcg administered intravesically with BCG once a week for 3 weeks at months 4, 7, 10, 13 and 19","400 mcg administered intravesically with BCG once a week for 3 weeks at months 4, 7, 10, 13 and 19"
"

How frequently should RYTELO be administered in the treatment cycle?",Every 4 weeks,Every 4 weeks
"

What is the minimum weight requirement for patients to receive NIKTIMVO?",40 kg,40 kg
"

What is the recommended infusion duration for each dose of IMDELLTRA?",1 hour,1 hour
"

What is the recommended daily dosage of REZDIFFRA for patients weighing less than 100 kg?",80 mg orally once daily,80 mg orally once daily
"

What is the loading dose of HYMPAVZI?",300 mg (two 150 mg subcutaneous injections),300 mg (two 150 mg subcutaneous injections)
"

What is the indicated age group for NEMLUVIO?",Adults only,Adults (18 years and older)
"

Are there any contraindications for IMDELLTRA?",No contraindications,"No, there are no contraindications"
"

In what patient populations has HYMPAVZI been approved for use?",Patients with hemophilia A without factor VIII inhibitors or hemophilia B without factor IX inhibitors,Patients with hemophilia A without factor VIII inhibitors or hemophilia B without factor IX inhibitors
"

What is the recommended daily dose of XOLREMDI for patients weighing 50 kg or less?",300 mg orally once daily,300 mg orally once daily
"

How frequently should NIKTIMVO be administered?",Every 2 weeks,Every 2 weeks
"

What is the minimum age group for which ITOVEBI is indicated?",Adults only,Adults only
"

What is the maintenance dosage of KISUNLA after the first three doses?",1400 mg every four weeks,1400 mg every four weeks
"

Is LEQSELVI recommended for use in patients with severe renal impairment?",No,No
"

What is the second dose reduction level of RYTELO for patients experiencing Grade 3 or 4 adverse reactions?",4.4 mg/kg,4.4 mg/kg
"

What is the recommended daily dosage of REZDIFFRA for patients weighing 100 kg or more?",100 mg orally once daily,100 mg orally once daily
"

What is the maximum treatment duration for ANKTIVA?",37 months,37 months
"

What is the approved age group for VYLOY treatment?",Adults only,Adults only
"

Are there any absolute contraindications for ITOVEBI?",None,None
"

What is the primary contraindication for EBGLYSS?",Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients,Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients
"

What is the primary contraindication for EXBLIFEP?",History of serious hypersensitivity reactions to the components of EXBLIFEP or other beta-lactam antibacterial drugs,History of serious hypersensitivity reactions to the components of EXBLIFEP or other beta-lactam antibacterial drugs
"

What is the initial dose of VYLOY for adult patients?",800 mg/m²,800 mg/m2
"

How many doses per day of AQNEURSA should patients weighing 15 to less than 25 kg receive?",2 doses,2 doses
"

What is the maintenance dose of PIASKY for patients weighing between 40 kg and 100 kg?",400 mg subcutaneously every 4 weeks,680 mg subcutaneously every 4 weeks
"

What is the minimum age requirement for PIASKY treatment?",5 years of age,13 years and older
"

What is the minimum patient weight required for AQNEURSA treatment?",15 kg,15 kg
"

For what duration should ORLYNVAH be prescribed in uncomplicated UTI?",5 days,5 days
"

What is the recommended daily dose of XOLREMDI for patients weighing more than 50 kg?",400 mg orally once daily,400 mg orally once daily
"

What should be completed before starting EBGLYSS treatment?",All age-appropriate vaccinations,All age-appropriate vaccinations
"

For patients weighing ≥50 kg with inadequate bleeding control, what adjusted maintenance dose of HYMPAVZI can be considered?",300 mg subcutaneous injection weekly,300 mg subcutaneous injection weekly
"

What is the maintenance dose of PIASKY for patients weighing 100 kg or more?","1,000 mg subcutaneously every 4 weeks","1,020 mg subcutaneously every 4 weeks"
"

Can REZDIFFRA be taken with or without food?",Can be taken with or without food,Can be taken with or without food
"

What is the maximum recommended dosage of COBENFY for geriatric patients?",100 mg/20 mg twice daily,100 mg/20 mg twice daily
"

What is the concentration of OHTUVAYRE in each unit-dose ampule?",3 mg/2.5 mL (1.2 mg/mL),3 mg/2.5 mL (1.2 mg/mL)
"

What is the recommended starting dose of ITOVEBI for patients with moderate renal impairment?",6 mg orally once daily,6 mg orally once daily
"

How should the dose of ITOVEBI be modified if a patient misses a dose within 9 hours of their usual time?",Take the missed dose as soon as possible within 9 hours,Take the missed dose as soon as possible within 9 hours
"

What are the absolute contraindications for COBENFY?","Urinary retention, moderate/severe hepatic impairment, gastric retention, hypersensitivity to COBENFY or trospium chloride, and untreated narrow-angle glaucoma","Urinary retention, moderate/severe hepatic impairment, gastric retention, hypersensitivity to COBENFY or trospium chloride, and untreated narrow-angle glaucoma"
"

What is the induction dosage of ANKTIVA?",400 mcg administered intravesically with BCG once a week for 6 weeks,400 mcg administered intravesically with BCG once a week for 6 weeks
"

What is the minimum age for patients to receive TEVIMBRA?",18 years (adult patients),18 years (adult patients)
"

What is the primary contraindication for XOLREMDI?",Use with drugs that are highly dependent on CYP2D6 for clearance,Use with drugs that are highly dependent on CYP2D6 for clearance
"

Are there any absolute contraindications for OJEMDA?",No absolute contraindications,"No, there are no absolute contraindications"
