input,model_response,answer
"

What is the minimum age for which ZEVTERA is indicated in treating CABP?",3 months,3 months
"

What should be done if a dose of WINREVAIR is missed?","Administer within 3 days of scheduled date; if beyond 3 days, adjust schedule to maintain 3-week dosing intervals","Administer within 3 days of scheduled date; if beyond 3 days, adjust schedule to maintain 3-week dosing intervals"
"

What is the recommended injection volume of LETYBO per injection site?",0.1 mL per injection site,0.1 mL per injection site
"

Are there any absolute contraindications for IQIRVO?",None,None
"

What is the recommended dose of TEVIMBRA for adult patients?",200 mg every 3 weeks,200 mg every 3 weeks
"

What is the recommended use of ORLYNVAH for patients with severe renal impairment (CrCL < 15 mL/min)?",Not recommended,Not recommended
"

What is the standard daily dosage of LAZCLUZE for adult patients?",240 mg once daily,240 mg once daily
"

What is the second dosage reduction of VORANIGO for adult patients experiencing adverse reactions?",10 mg once daily,10 mg once daily
"

What is the recommended weekly dosage of OJEMDA based on body surface area?",380 mg/m² once weekly,380 mg/m² once weekly
"

What is the recommended adult dosage of ZEVTERA for treating ABSSSI?",667 mg every 8 hours,667 mg every 8 hours
"

What is the recommended DUVYZAT dosage for patients weighing 10-20 kg?",22.2 mg twice daily (2.5 mL twice daily),22.2 mg twice daily (2.5 mL twice daily)
"

How long after applying ZELSUVMI should patients wait before swimming, bathing, or washing?",1 hour,1 hour
"

What is the initial dose of NEMLUVIO for adult patients weighing less than 90kg?","60 mg (two 30 mg injections), followed by 30 mg every 4 weeks","60 mg (two 30 mg injections), followed by 30 mg every 4 weeks"
"

For what duration should ORLYNVAH be prescribed in uncomplicated UTI?",5 days,5 days
"

What is the indicated age range for COBENFY?",Adults only,Adults only
"

What baseline tests are required before starting DUVYZAT treatment?",Platelet counts and triglycerides,Platelet counts and triglycerides
"

Does LIVDELZI require dose adjustment in patients with mild hepatic impairment?",No dose adjustment is recommended,No dose adjustment is recommended
"

What is the recommended starting dosage of COBENFY for adult patients?",50 mg/20 mg twice daily for at least two days,50 mg/20 mg twice daily for at least two days
"

What is the induction dosage of ANKTIVA?",400 mcg administered intravesically with BCG once a week for 6 weeks,400 mcg administered intravesically with BCG once a week for 6 weeks
"

How long should patients wait after shaving before applying SOFDRA?",At least 8 hours,At least 8 hours
"

What is the dosage of ANKTIVA for additional maintenance treatment after month 25?","400 mcg administered once a week for 3 weeks at months 25, 31, and 37","400 mcg administered once a week for 3 weeks at months 25, 31, and 37"
"

What is the standard daily dosage of ITOVEBI for adult patients?",9 mg orally once daily,9 mg orally once daily
"

What is the indicated age range for TRYVIO treatment?",Adults only,Adults only
"

What is the maximum duration for using reconstituted LETYBO?",24 hours after reconstitution,24 hours after reconstitution
"

How long can subsequent infusions of TEVIMBRA be administered if the first infusion is tolerated?",30 minutes,30 minutes
"

What is the primary contraindication for XOLREMDI?",Use with drugs that are highly dependent on CYP2D6 for clearance,Use with drugs that are highly dependent on CYP2D6 for clearance
"

Can IQIRVO be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the recommended EXBLIFEP dosage for patients with eGFR greater than or equal to 130 mL/min?",2.5 grams every 8 hours with 4-hour infusion,2.5 grams every 8 hours with 4-hour infusion
"

What is the indicated age range for LETYBO treatment?",Adult patients only,Adult patients only
"

What is the adjusted dosage of XOLREMDI when used with strong CYP3A4 inhibitors?",200 mg daily,200 mg daily
"

For patients with a BSA of 1.40 m² or greater, what is the recommended weekly tablet dose of OJEMDA?",600 mg once weekly,600 mg once weekly
"

What is the recommended daily dosage of SOFDRA for axillary hyperhidrosis?",One pump per underarm once daily at bedtime,One pump per underarm once daily at bedtime
"

Is dosage adjustment of IQIRVO needed for patients with mild hepatic impairment?",No dosage adjustment is recommended,No dosage adjustment is recommended
"

What is the recommended ZEVTERA dosage for pediatric patients aged 3 months to less than 12 years with CABP?",20 mg/kg (up to 667 mg/dose) every 8 hours,20 mg/kg (up to 667 mg/dose) every 8 hours
"

What is the evening dose of AQNEURSA for patients weighing 35 kg or more?",1 gram,1 gram
"

What are the contraindications for MIPLYFFA?",None,None
"

How long should the RYTELO infusion be administered?",Over 2 hours,Over 2 hours
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 15-30 kg?",62 mg three times a day,62 mg three times a day
"

What is the maximum weekly dose of OJEMDA regardless of body surface area?",600 mg,600 mg
"

What is the recommended EXBLIFEP dosage for patients with eGFR less than 15 mL/min?","Loading dose of 1.25 grams on first day, followed by 0.625 grams every 24 hours","Loading dose of 1.25 grams on first day, followed by 0.625 grams every 24 hours"
"

Is there any difference in TEVIMBRA's effectiveness between elderly and younger adult patients?",No overall differences in safety or effectiveness were observed,No overall differences in safety or effectiveness were observed
"

Are there any absolute contraindications for RYTELO?",None,None
"

How long after reconstitution must NEMLUVIO be used?",Within 4 hours,Within 4 hours
"

Are there any absolute contraindications for WINREVAIR?",None,None
"

What is the first dose reduction level of ITOVEBI for managing adverse reactions?",6 mg daily,6 mg daily
"

What is the recommended EXBLIFEP dosage for patients with severe renal impairment (eGFR 15-29 mL/min)?",1.25 grams every 12 hours with 2-hour infusion,1.25 grams every 12 hours with 2-hour infusion
"

How frequently should hemoglobin and platelet counts be monitored when starting WINREVAIR?","Before each dose for the first 5 doses, or longer if values are unstable, and periodically thereafter","Before each dose for the first 5 doses, or longer if values are unstable, and periodically thereafter"
"

What is the minimum body weight requirement for PIASKY treatment?",40 kg,40 kg
"

What is the target dose of WINREVAIR for PAH treatment?",0.7 mg/kg every 3 weeks by subcutaneous injection,0.7 mg/kg every 3 weeks by subcutaneous injection
"

When should COBENFY be taken in relation to meals?",At least one hour before a meal or at least two hours after a meal,At least one hour before a meal or at least two hours after a meal
"

Has ZELSUVMI been proven safe and effective in children under 1 year of age?",No,No
